"","model term","nu","vaxrate","df1","df2","F.ratio","p.value"
"1","beta","0","0",2,1296,929.927,3.46966190232124e-251
"3","beta","0.25","0",2,1296,0.358,0.699283811150955
"5","beta","0.5","0",2,1296,0.571,0.565111827524692
"7","beta","0","0.25",2,1296,18.782,9.10371110034853e-09
"9","beta","0.25","0.25",2,1296,0.114,0.892170181007015
"11","beta","0.5","0.25",2,1296,0.248,0.780605521769053
"13","beta","0","0.5",2,1296,1.122,0.325980395413315
"15","beta","0.25","0.5",2,1296,1.153,0.316025837074326
"17","beta","0.5","0.5",2,1296,0.085,0.918744094867322
"19","beta","0","0.75",2,1296,0.043,0.957540749894473
"21","beta","0.25","0.75",2,1296,1.84,0.159267983322918
"23","beta","0.5","0.75",2,1296,0.048,0.953143883245945
"14","betap","0","0",3,1296,2272.643,0
"4","betap","0.25","0",3,1296,145.19,4.15632673897105e-81
"72","betap","0.5","0",3,1296,39.667,1.59340499978771e-24
"10","betap","0","0.25",3,1296,808.575,3.10041938663704e-296
"132","betap","0.25","0.25",3,1296,100.899,1.06172947076782e-58
"16","betap","0.5","0.25",3,1296,37.124,5.13702614376667e-23
"192","betap","0","0.5",3,1296,202.935,6.85969783311688e-108
"22","betap","0.25","0.5",3,1296,43.131,1.44372516950889e-26
"251","betap","0.5","0.5",3,1296,16.092,2.83379573863922e-10
"28","betap","0","0.75",3,1296,26.509,1.21520111794599e-16
"311","betap","0.25","0.75",3,1296,10.058,1.49129857965398e-06
"34","betap","0.5","0.75",3,1296,9.2,5.04282185930845e-06
"12","beta:betap","0","0",6,1296,183.368,4.84869794203847e-169
"71","beta:betap","0.25","0",6,1296,0.595,0.734315539320602
"131","beta:betap","0.5","0",6,1296,0.206,0.975042874257112
"191","beta:betap","0","0.25",6,1296,3.55,0.00171648420201115
"25","beta:betap","0.25","0.25",6,1296,0.325,0.924076577585445
"31","beta:betap","0.5","0.25",6,1296,0.203,0.976029833667554
"37","beta:betap","0","0.5",6,1296,0.237,0.9644630793674
"43","beta:betap","0.25","0.5",6,1296,0.188,0.980254865703043
"49","beta:betap","0.5","0.5",6,1296,0.069,0.998719106229686
"55","beta:betap","0","0.75",6,1296,0.253,0.958236537422847
"61","beta:betap","0.25","0.75",6,1296,1.786,0.0985839921598038
"67","beta:betap","0.5","0.75",6,1296,0.207,0.974639914600918
