"","betap","nu","vaxrate","beta","emmean","SE","df","lower.CL","upper.CL"
"1","1.25","0","0","1.4",14.6534274394589,0.0862153473467597,1296,14.4377858120999,14.869069066818
"2","1.5","0","0","1.4",10.4947042048941,0.0862153473467579,1296,10.279062577535,10.7103458322532
"3","1.75","0","0","1.4",8.03130128936407,0.0862153473467579,1296,7.81565966200501,8.24694291672313
"4","2","0","0","1.4",6.3602121568805,0.0862153473467571,1296,6.14457052952144,6.57585378423955
"5","1.25","0.25","0","1.4",5.50523445487778,0.0862153473467574,1296,5.28959282751872,5.72087608223684
"6","1.5","0.25","0","1.4",4.7133141901815,0.0862153473467578,1296,4.49767256282244,4.92895581754056
"7","1.75","0.25","0","1.4",4.29411114125803,0.0862153473467574,1296,4.07846951389897,4.50975276861709
"8","2","0.25","0","1.4",4.00786095367955,0.0862153473467576,1296,3.79221932632049,4.22350258103861
"9","1.25","0.5","0","1.4",4.01980403886799,0.0862153473467575,1296,3.80416241150893,4.23544566622705
"10","1.5","0.5","0","1.4",3.75536098900514,0.0862153473467578,1296,3.53971936164608,3.97100261636421
"11","1.75","0.5","0","1.4",3.57573578087986,0.0862153473467581,1296,3.3600941535208,3.79137740823892
"12","2","0.5","0","1.4",3.23197546895538,0.0862153473467588,1296,3.01633384159631,3.44761709631444
"13","1.25","0","0.25","1.4",8.19642895744463,0.0862153473467576,1296,7.98078733008557,8.41207058480369
"14","1.5","0","0.25","1.4",6.21999140847922,0.0862153473467572,1296,6.00434978112016,6.43563303583828
"15","1.75","0","0.25","1.4",5.18372193730887,0.0862153473467581,1296,4.96808030994981,5.39936356466793
"16","2","0","0.25","1.4",4.57409618055075,0.0862153473467577,1296,4.35845455319169,4.78973780790981
"17","1.25","0.25","0.25","1.4",4.4385124929506,0.0862153473467579,1296,4.22287086559154,4.65415412030966
"18","1.5","0.25","0.25","1.4",4.02905616301678,0.0862153473467576,1296,3.81341453565772,4.24469779037584
"19","1.75","0.25","0.25","1.4",3.60510949907009,0.086215347346758,1296,3.38946787171103,3.82075112642915
"20","2","0.25","0.25","1.4",3.26784076646003,0.0862153473467579,1296,3.05219913910097,3.48348239381909
