"","nu","vaxrate","beta","betap","contrast","emmean","SE","df","lower.CL","upper.CL"
"1","0","0","1.4","1.25",".",14.6534274394589,0.0862153473467597,1296,14.3316965363204,14.9751583425975
"2","0","0","1.4","1.5",".",10.4947042048941,0.0862153473467579,1296,10.1729733017555,10.8164351080326
"3","0","0","1.4","1.75",".",8.03130128936407,0.0862153473467579,1296,7.70957038622553,8.35303219250261
"4","0","0","1.4","2",".",6.3602121568805,0.0862153473467571,1296,6.03848125374196,6.68194306001903
"5","0.25","0","1.4","1.25",".",5.50523445487778,0.0862153473467574,1296,5.18350355173924,5.82696535801632
"6","0.25","0","1.4","1.5",".",4.7133141901815,0.0862153473467578,1296,4.39158328704296,5.03504509332004
"7","0.25","0","1.4","1.75",".",4.29411114125803,0.0862153473467574,1296,3.97238023811949,4.61584204439657
"8","0.25","0","1.4","2",".",4.00786095367955,0.0862153473467576,1296,3.68613005054101,4.32959185681809
"9","0.5","0","1.4","1.25",".",4.01980403886799,0.0862153473467575,1296,3.69807313572945,4.34153494200653
"10","0.5","0","1.4","1.5",".",3.75536098900514,0.0862153473467578,1296,3.4336300858666,4.07709189214369
"11","0.5","0","1.4","1.75",".",3.57573578087986,0.0862153473467581,1296,3.25400487774132,3.8974666840184
"12","0.5","0","1.4","2",".",3.23197546895538,0.0862153473467588,1296,2.91024456581683,3.55370637209392
"13","0","0.25","1.4","1.25",".",8.19642895744463,0.0862153473467576,1296,7.87469805430609,8.51815986058317
"14","0","0.25","1.4","1.5",".",6.21999140847922,0.0862153473467572,1296,5.89826050534068,6.54172231161776
"15","0","0.25","1.4","1.75",".",5.18372193730887,0.0862153473467581,1296,4.86199103417032,5.50545284044741
"16","0","0.25","1.4","2",".",4.57409618055075,0.0862153473467577,1296,4.25236527741221,4.89582708368929
"17","0.25","0.25","1.4","1.25",".",4.4385124929506,0.0862153473467579,1296,4.11678158981206,4.76024339608914
"18","0.25","0.25","1.4","1.5",".",4.02905616301678,0.0862153473467576,1296,3.70732525987824,4.35078706615533
"19","0.25","0.25","1.4","1.75",".",3.60510949907009,0.086215347346758,1296,3.28337859593155,3.92684040220863
"20","0.25","0.25","1.4","2",".",3.26784076646003,0.0862153473467579,1296,2.94610986332149,3.58957166959857
"21","0.5","0.25","1.4","1.25",".",3.59536617885523,0.0862153473467579,1296,3.27363527571669,3.91709708199378
"22","0.5","0.25","1.4","1.5",".",3.25056205633026,0.0862153473467579,1296,2.92883115319172,3.5722929594688
"23","0.5","0.25","1.4","1.75",".",2.99743807044996,0.0862153473467578,1296,2.67570716731142,3.3191689735885
"24","0.5","0.25","1.4","2",".",2.877202050555,0.0862153473467572,1296,2.55547114741646,3.19893295369354
"25","0","0.5","1.4","1.25",".",4.88565738750081,0.0862153473467576,1296,4.56392648436227,5.20738829063935
"26","0","0.5","1.4","1.5",".",4.11266447515237,0.0862153473467578,1296,3.79093357201383,4.43439537829091
"27","0","0.5","1.4","1.75",".",3.53508622682974,0.0862153473467573,1296,3.2133553236912,3.85681712996828
"28","0","0.5","1.4","2",".",3.19944397530892,0.0862153473467574,1296,2.87771307217038,3.52117487844746
