"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"1","betap1.25 - betap1.5","0","0","1.4",4.15872323456485,0.121926913502493,1296,3.8365540017698,4.4808924673599
"2","betap1.25 - betap1.75","0","0","1.4",6.62212615009487,0.121926913502493,1296,6.29995691729982,6.94429538288992
"3","betap1.25 - betap2","0","0","1.4",8.29321528257845,0.121926913502494,1296,7.97104604978339,8.6153845153735
"4","betap1.5 - betap1.75","0","0","1.4",2.46340291553002,0.121926913502492,1296,2.14123368273497,2.78557214832507
"5","betap1.5 - betap2","0","0","1.4",4.1344920480136,0.121926913502492,1296,3.81232281521855,4.45666128080864
"6","betap1.75 - betap2","0","0","1.4",1.67108913248357,0.121926913502492,1296,1.34891989968853,1.99325836527862
"7","betap1.25 - betap1.5","0.25","0","1.4",0.79192026469628,0.121926913502492,1296,0.469751031901233,1.11408949749133
"8","betap1.25 - betap1.75","0.25","0","1.4",1.21112331361975,0.121926913502492,1296,0.888954080824698,1.53329254641479
"9","betap1.25 - betap2","0.25","0","1.4",1.49737350119822,0.121926913502492,1296,1.17520426840318,1.81954273399327
"10","betap1.5 - betap1.75","0.25","0","1.4",0.419203048923465,0.121926913502492,1296,0.097033816128418,0.741372281718512
"11","betap1.5 - betap2","0.25","0","1.4",0.705453236501945,0.121926913502492,1296,0.383284003706897,1.02762246929699
"12","betap1.75 - betap2","0.25","0","1.4",0.28625018757848,0.121926913502492,1296,-0.035919045216567,0.608419420373526
"13","betap1.25 - betap1.5","0.5","0","1.4",0.264443049862848,0.121926913502492,1296,-0.0577261829321988,0.586612282657895
"14","betap1.25 - betap1.75","0.5","0","1.4",0.444068257988132,0.121926913502492,1296,0.121899025193085,0.766237490783179
"15","betap1.25 - betap2","0.5","0","1.4",0.787828569912618,0.121926913502492,1296,0.46565933711757,1.10999780270767
"16","betap1.5 - betap1.75","0.5","0","1.4",0.179625208125284,0.121926913502492,1296,-0.142544024669763,0.501794440920332
"17","betap1.5 - betap2","0.5","0","1.4",0.52338552004977,0.121926913502492,1296,0.201216287254722,0.845554752844817
"18","betap1.75 - betap2","0.5","0","1.4",0.343760311924485,0.121926913502492,1296,0.0215910791294375,0.665929544719533
"19","betap1.25 - betap1.5","0","0.25","1.4",1.97643754896541,0.121926913502492,1296,1.65426831617036,2.29860678176046
"20","betap1.25 - betap1.75","0","0.25","1.4",3.01270702013576,0.121926913502492,1296,2.69053778734072,3.33487625293081
"21","betap1.25 - betap2","0","0.25","1.4",3.62233277689389,0.121926913502492,1296,3.30016354409884,3.94450200968893
"22","betap1.5 - betap1.75","0","0.25","1.4",1.03626947117036,0.121926913502492,1296,0.714100238375308,1.3584387039654
"23","betap1.5 - betap2","0","0.25","1.4",1.64589522792848,0.121926913502492,1296,1.32372599513343,1.96806446072352
"24","betap1.75 - betap2","0","0.25","1.4",0.609625756758122,0.121926913502492,1296,0.287456523963074,0.931794989553169
"25","betap1.25 - betap1.5","0.25","0.25","1.4",0.409456329933812,0.121926913502492,1296,0.0872870971387636,0.731625562728861
"26","betap1.25 - betap1.75","0.25","0.25","1.4",0.833402993880504,0.121926913502492,1296,0.511233761085455,1.15557222667555
"27","betap1.25 - betap2","0.25","0.25","1.4",1.17067172649057,0.121926913502492,1296,0.848502493695522,1.49284095928562
"28","betap1.5 - betap1.75","0.25","0.25","1.4",0.423946663946692,0.121926913502492,1296,0.101777431151644,0.74611589674174
"29","betap1.5 - betap2","0.25","0.25","1.4",0.761215396556758,0.121926913502492,1296,0.439046163761711,1.08338462935181
"30","betap1.75 - betap2","0.25","0.25","1.4",0.337268732610066,0.121926913502492,1296,0.0150994998150176,0.659437965405114
"31","betap1.25 - betap1.5","0.5","0.25","1.4",0.344804122524977,0.121926913502492,1296,0.0226348897299289,0.666973355320025
"32","betap1.25 - betap1.75","0.5","0.25","1.4",0.597928108405276,0.121926913502492,1296,0.275758875610228,0.920097341200323
"33","betap1.25 - betap2","0.5","0.25","1.4",0.718164128300236,0.121926913502492,1296,0.395994895505189,1.04033336109528
"34","betap1.5 - betap1.75","0.5","0.25","1.4",0.253123985880298,0.121926913502492,1296,-0.0690452469147492,0.575293218675346
"35","betap1.5 - betap2","0.5","0.25","1.4",0.373360005775259,0.121926913502492,1296,0.051190772980211,0.695529238570307
"36","betap1.75 - betap2","0.5","0.25","1.4",0.120236019894961,0.121926913502491,1296,-0.201933212900086,0.442405252690007
"37","betap1.25 - betap1.5","0","0.5","1.4",0.772992912348438,0.121926913502492,1296,0.450823679553391,1.09516214514349
"38","betap1.25 - betap1.75","0","0.5","1.4",1.35057116067107,0.121926913502491,1296,1.02840192787602,1.67274039346612
"39","betap1.25 - betap2","0","0.5","1.4",1.68621341219189,0.121926913502492,1296,1.36404417939685,2.00838264498694
"40","betap1.5 - betap1.75","0","0.5","1.4",0.577578248322632,0.121926913502492,1296,0.255409015527584,0.89974748111768
"41","betap1.5 - betap2","0","0.5","1.4",0.913220499843454,0.121926913502492,1296,0.591051267048406,1.2353897326385
"42","betap1.75 - betap2","0","0.5","1.4",0.335642251520822,0.121926913502492,1296,0.0134730187257744,0.657811484315869
"43","betap1.25 - betap1.5","0.25","0.5","1.4",0.257370886380708,0.121926913502492,1296,-0.0647983464143394,0.579540119175756
"44","betap1.25 - betap1.75","0.25","0.5","1.4",0.571602031288932,0.121926913502492,1296,0.249432798493885,0.893771264083979
"45","betap1.25 - betap2","0.25","0.5","1.4",0.664546789398245,0.121926913502492,1296,0.342377556603198,0.986716022193292
"46","betap1.5 - betap1.75","0.25","0.5","1.4",0.314231144908223,0.121926913502492,1296,-0.00793808788682498,0.636400377703272
"47","betap1.5 - betap2","0.25","0.5","1.4",0.407175903017537,0.121926913502492,1296,0.0850066702224888,0.729345135812585
