"","model term","nu","vaxrate","beta","df1","df2","F.ratio","p.value"
"1","betap","0","0","1.4",3,1296,1747.59,0
"4","betap","0.25","0","1.4",3,1296,57.081,1.17356830536019e-34
"7","betap","0.5","0","1.4",3,1296,14.711,2.0094212102223e-09
"10","betap","0","0.25","1.4",3,1296,339.232,1.50729662756923e-162
"13","betap","0.25","0.25","1.4",3,1296,34.817,1.21631135540711e-21
"16","betap","0.5","0.25","1.4",3,1296,13.567,1.02021495597137e-08
"19","betap","0","0.5","1.4",3,1296,73.378,7.78946942920676e-44
"22","betap","0.25","0.5","1.4",3,1296,12.419,5.20620297118931e-08
"25","betap","0.5","0.5","1.4",3,1296,5.124,0.00158682302224332
"28","betap","0","0.75","1.4",3,1296,11.284,2.61423063426583e-07
"31","betap","0.25","0.75","1.4",3,1296,5.19,0.00144630860668341
"34","betap","0.5","0.75","1.4",3,1296,2.076,0.10154775327468
"37","betap","0","0","1.75",3,1296,667.398,2.98747179548449e-262
"40","betap","0.25","0","1.75",3,1296,40.521,4.97748181905243e-25
"43","betap","0.5","0","1.75",3,1296,11.189,2.99191247364452e-07
"46","betap","0","0.25","1.75",3,1296,251.906,9.07367044277789e-129
"49","betap","0.25","0.25","1.75",3,1296,36.216,1.78307130527613e-22
"52","betap","0.5","0.25","1.75",3,1296,13.513,1.10044643500079e-08
"55","betap","0","0.5","1.75",3,1296,70.653,2.54697106301833e-42
"58","betap","0.25","0.5","1.75",3,1296,16.333,2.01374653372837e-10
"61","betap","0.5","0.5","1.75",3,1296,5.689,0.000719810495302952
"64","betap","0","0.75","1.75",3,1296,8.451,1.45858849465977e-05
"67","betap","0.25","0.75","1.75",3,1296,6.261,0.000321904734907968
"70","betap","0.5","0.75","1.75",3,1296,4.167,0.00600064960703596
"73","betap","0","0","2.1",3,1296,224.391,3.14915695307084e-117
"76","betap","0.25","0","2.1",3,1296,48.779,7.20461109473656e-30
"79","betap","0.5","0","2.1",3,1296,14.179,4.27664120584364e-09
"82","betap","0","0.25","2.1",3,1296,224.537,2.72580472156475e-117
"85","betap","0.25","0.25","2.1",3,1296,30.516,4.614245562435e-19
"88","betap","0.5","0.25","2.1",3,1296,10.449,8.55518753525184e-07
"91","betap","0","0.5","2.1",3,1296,59.378,5.72990117676334e-36
"94","betap","0.25","0.5","2.1",3,1296,14.754,1.89009158103159e-09
"97","betap","0.5","0.5","2.1",3,1296,5.418,0.00105242959952998
"100","betap","0","0.75","2.1",3,1296,7.28,7.64920597652191e-05
"103","betap","0.25","0.75","2.1",3,1296,2.177,0.088938589042226
"106","betap","0.5","0.75","2.1",3,1296,3.371,0.0179202023228608
