"","emmeans.nu","emmeans.betap","emmeans.vaxrate","emmeans.beta","emmeans.emmean","emmeans.SE","emmeans.df","emmeans.lower.CL","emmeans.upper.CL","contrasts.contrast","contrasts.betap","contrasts.vaxrate","contrasts.beta","contrasts.estimate","contrasts.SE","contrasts.df","contrasts.lower.CL","contrasts.upper.CL"
"1","0","1.25","0","1.4",14.6534274394589,0.0862153473467597,1296,14.4467613115165,14.8600935674014,"nu0 - nu0.25","1.25","0","1.4",9.14819298458116,0.121926913502493,1296,8.85592294356186,9.44046302560047
"2","0.25","1.25","0","1.4",5.50523445487778,0.0862153473467574,1296,5.29856832693536,5.7119005828202,"nu0 - nu0.5","1.25","0","1.4",10.6336234005909,0.121926913502494,1296,10.3413533595716,10.9258934416103
"3","0.5","1.25","0","1.4",4.01980403886799,0.0862153473467575,1296,3.81313791092557,4.22647016681041,"nu0.25 - nu0.5","1.25","0","1.4",1.48543041600979,0.121926913502492,1296,1.19316037499048,1.77770045702909
"4","0","1.5","0","1.4",10.4947042048941,0.0862153473467579,1296,10.2880380769517,10.7013703328365,"nu0 - nu0.25","1.5","0","1.4",5.78139001471259,0.121926913502492,1296,5.48911997369329,6.0736600557319
"5","0.25","1.5","0","1.4",4.7133141901815,0.0862153473467578,1296,4.50664806223908,4.91998031812392,"nu0 - nu0.5","1.5","0","1.4",6.73934321588895,0.121926913502492,1296,6.44707317486964,7.03161325690825
"6","0.5","1.5","0","1.4",3.75536098900514,0.0862153473467578,1296,3.54869486106272,3.96202711694756,"nu0.25 - nu0.5","1.5","0","1.4",0.957953201176354,0.121926913502492,1296,0.665683160157051,1.25022324219566
"7","0","1.75","0","1.4",8.03130128936407,0.0862153473467579,1296,7.82463516142165,8.23796741730649,"nu0 - nu0.25","1.75","0","1.4",3.73719014810603,0.121926913502492,1296,3.44492010708673,4.02946018912534
"8","0.25","1.75","0","1.4",4.29411114125803,0.0862153473467574,1296,4.08744501331561,4.50077726920045,"nu0 - nu0.5","1.75","0","1.4",4.45556550848421,0.121926913502492,1296,4.1632954674649,4.74783554950351
"9","0.5","1.75","0","1.4",3.57573578087986,0.0862153473467581,1296,3.36906965293744,3.78240190882228,"nu0.25 - nu0.5","1.75","0","1.4",0.718375360378173,0.121926913502492,1296,0.42610531935887,1.01064540139748
"10","0","2","0","1.4",6.3602121568805,0.0862153473467571,1296,6.15354602893808,6.56687828482291,"nu0 - nu0.25","2","0","1.4",2.35235120320094,0.121926913502492,1296,2.06008116218164,2.64462124422024
"11","0.25","2","0","1.4",4.00786095367955,0.0862153473467576,1296,3.80119482573713,4.21452708162197,"nu0 - nu0.5","2","0","1.4",3.12823668792512,0.121926913502492,1296,2.83596664690582,3.42050672894442
"12","0.5","2","0","1.4",3.23197546895538,0.0862153473467588,1296,3.02530934101295,3.4386415968978,"nu0.25 - nu0.5","2","0","1.4",0.775885484724179,0.121926913502491,1296,0.483615443704877,1.06815552574348
"13","0","1.25","0.25","1.4",8.19642895744463,0.0862153473467576,1296,7.98976282950221,8.40309508538705,"nu0 - nu0.25","1.25","0.25","1.4",3.75791646449404,0.121926913502492,1296,3.46564642347473,4.05018650551334
"14","0.25","1.25","0.25","1.4",4.4385124929506,0.0862153473467579,1296,4.23184636500818,4.64517862089302,"nu0 - nu0.5","1.25","0.25","1.4",4.6010627785894,0.121926913502492,1296,4.30879273757009,4.8933328196087
"15","0.5","1.25","0.25","1.4",3.59536617885523,0.0862153473467579,1296,3.38870005091281,3.80203230679765,"nu0.25 - nu0.5","1.25","0.25","1.4",0.843146314095363,0.121926913502492,1296,0.550876273076059,1.13541635511467
"16","0","1.5","0.25","1.4",6.21999140847922,0.0862153473467572,1296,6.0133252805368,6.42665753642164,"nu0 - nu0.25","1.5","0.25","1.4",2.19093524546244,0.121926913502491,1296,1.89866520444314,2.48320528648174
"17","0.25","1.5","0.25","1.4",4.02905616301678,0.0862153473467576,1296,3.82239003507436,4.2357222909592,"nu0 - nu0.5","1.5","0.25","1.4",2.96942935214897,0.121926913502492,1296,2.67715931112966,3.26169939316827
"18","0.5","1.5","0.25","1.4",3.25056205633026,0.0862153473467579,1296,3.04389592838784,3.45722818427268,"nu0.25 - nu0.5","1.5","0.25","1.4",0.778494106686528,0.121926913502492,1296,0.486224065667224,1.07076414770583
"19","0","1.75","0.25","1.4",5.18372193730887,0.0862153473467581,1296,4.97705580936645,5.39038806525129,"nu0 - nu0.25","1.75","0.25","1.4",1.57861243823877,0.121926913502492,1296,1.28634239721947,1.87088247925808
"20","0.25","1.75","0.25","1.4",3.60510949907009,0.086215347346758,1296,3.39844337112767,3.81177562701251,"nu0 - nu0.5","1.75","0.25","1.4",2.18628386685891,0.121926913502492,1296,1.89401382583961,2.47855390787821
"21","0.5","1.75","0.25","1.4",2.99743807044996,0.0862153473467578,1296,2.79077194250754,3.20410419839238,"nu0.25 - nu0.5","1.75","0.25","1.4",0.607671428620134,0.121926913502492,1296,0.31540138760083,0.899941469639438
"22","0","2","0.25","1.4",4.57409618055075,0.0862153473467577,1296,4.36743005260833,4.78076230849317,"nu0 - nu0.25","2","0.25","1.4",1.30625541409072,0.121926913502492,1296,1.01398537307142,1.59852545511002
"23","0.25","2","0.25","1.4",3.26784076646003,0.0862153473467579,1296,3.06117463851761,3.47450689440245,"nu0 - nu0.5","2","0.25","1.4",1.69689412999575,0.121926913502492,1296,1.40462408897644,1.98916417101505
"24","0.5","2","0.25","1.4",2.877202050555,0.0862153473467572,1296,2.67053592261258,3.08386817849742,"nu0.25 - nu0.5","2","0.25","1.4",0.390638715905029,0.121926913502492,1296,0.0983686748857252,0.682908756924332
"25","0","1.25","0.5","1.4",4.88565738750081,0.0862153473467576,1296,4.67899125955839,5.09232351544323,"nu0 - nu0.25","1.25","0.5","1.4",1.52044462470974,0.121926913502492,1296,1.22817458369044,1.81271466572904
"26","0.25","1.25","0.5","1.4",3.36521276279107,0.0862153473467573,1296,3.15854663484865,3.57187889073349,"nu0 - nu0.5","1.25","0.5","1.4",2.0720427930334,0.121926913502492,1296,1.7797727520141,2.3643128340527
"27","0.5","1.25","0.5","1.4",2.81361459446741,0.0862153473467578,1296,2.60694846652499,3.02028072240983,"nu0.25 - nu0.5","1.25","0.5","1.4",0.55159816832366,0.121926913502492,1296,0.259328127304357,0.843868209342964
"28","0","1.5","0.5","1.4",4.11266447515237,0.0862153473467578,1296,3.90599834720995,4.31933060309479,"nu0 - nu0.25","1.5","0.5","1.4",1.00482259874201,0.121926913502492,1296,0.712552557722705,1.29709263976131
"29","0.25","1.5","0.5","1.4",3.10784187641036,0.0862153473467578,1296,2.90117574846794,3.31450800435278,"nu0 - nu0.5","1.5","0.5","1.4",1.52430705329445,0.121926913502492,1296,1.23203701227515,1.81657709431376
"30","0.5","1.5","0.5","1.4",2.58835742185792,0.0862153473467577,1296,2.3816912939155,2.79502354980034,"nu0.25 - nu0.5","1.5","0.5","1.4",0.519484454552444,0.121926913502492,1296,0.22721441353314,0.811754495571747
"31","0","1.75","0.5","1.4",3.53508622682974,0.0862153473467573,1296,3.32842009888732,3.74175235477216,"nu0 - nu0.25","1.75","0.5","1.4",0.7414754953276,0.121926913502491,1296,0.449205454308297,1.0337455363469
"32","0.25","1.75","0.5","1.4",2.79361073150214,0.0862153473467578,1296,2.58694460355972,3.00027685944456,"nu0 - nu0.5","1.75","0.5","1.4",1.05730885564065,0.121926913502491,1296,0.765038814621343,1.34957889665995
"33","0.5","1.75","0.5","1.4",2.47777737118909,0.0862153473467577,1296,2.27111124324667,2.68444349913151,"nu0.25 - nu0.5","1.75","0.5","1.4",0.315833360313046,0.121926913502492,1296,0.0235633192937418,0.60810340133235
"34","0","2","0.5","1.4",3.19944397530892,0.0862153473467574,1296,2.9927778473665,3.40611010325134,"nu0 - nu0.25","2","0.5","1.4",0.498778001916091,0.121926913502492,1296,0.206507960896787,0.791048042935395
"35","0.25","2","0.5","1.4",2.70066597339283,0.0862153473467579,1296,2.49399984545041,2.90733210133525,"nu0 - nu0.5","2","0.5","1.4",0.845320899302932,0.121926913502492,1296,0.553050858283629,1.13759094032223
"36","0.5","2","0.5","1.4",2.35412307600599,0.0862153473467575,1296,2.14745694806357,2.56078920394841,"nu0.25 - nu0.5","2","0.5","1.4",0.34654289738684,0.121926913502492,1296,0.0542728563675372,0.638812938406144
"37","0","1.25","0.75","1.4",2.69252581020665,0.0862153473467571,1296,2.48585968226423,2.89919193814907,"nu0 - nu0.25","1.25","0.75","1.4",0.322630606191044,0.121926913502492,1296,0.0303605651717404,0.614900647210348
"38","0.25","1.25","0.75","1.4",2.36989520401561,0.0862153473467577,1296,2.16322907607319,2.57656133195803,"nu0 - nu0.5","1.25","0.75","1.4",0.616276906962901,0.121926913502491,1296,0.324006865943599,0.908546947982204
"39","0.5","1.25","0.75","1.4",2.07624890324375,0.0862153473467584,1296,1.86958277530133,2.28291503118617,"nu0.25 - nu0.5","1.25","0.75","1.4",0.293646300771857,0.121926913502492,1296,0.00137625975255323,0.585916341791161
"40","0","1.5","0.75","1.4",2.53569260998124,0.0862153473467577,1296,2.32902648203882,2.74235873792366,"nu0 - nu0.25","1.5","0.75","1.4",0.347802541175639,0.121926913502492,1296,0.0555325001563364,0.640072582194942
"41","0.25","1.5","0.75","1.4",2.1878900688056,0.0862153473467574,1296,1.98122394086318,2.39455619674802,"nu0 - nu0.5","1.5","0.75","1.4",0.576055870474589,0.121926913502492,1296,0.283785829455285,0.868325911493892
"42","0.5","1.5","0.75","1.4",1.95963673950665,0.0862153473467574,1296,1.75297061156423,2.16630286744907,"nu0.25 - nu0.5","1.5","0.75","1.4",0.228253329298949,0.121926913502492,1296,-0.0640167117203536,0.520523370318252
"43","0","1.75","0.75","1.4",2.25311170369549,0.0862153473467579,1296,2.04644557575307,2.45977783163791,"nu0 - nu0.25","1.75","0.75","1.4",0.244248356319398,0.121926913502492,1296,-0.0480216846999065,0.536518397338702
"44","0.25","1.75","0.75","1.4",2.00886334737609,0.0862153473467577,1296,1.80219721943367,2.21552947531851,"nu0 - nu0.5","1.75","0.75","1.4",0.345782895709962,0.121926913502492,1296,0.0535128546906578,0.638052936729267
"45","0.5","1.75","0.75","1.4",1.90732880798553,0.0862153473467576,1296,1.70066268004311,2.11399493592795,"nu0.25 - nu0.5","1.75","0.75","1.4",0.101534539390565,0.121926913502492,1296,-0.190735501628739,0.393804580409869
"46","0","2","0.75","1.4",2.04293955268326,0.0862153473467597,1296,1.83627342474084,2.24960568062569,"nu0 - nu0.25","2","0.75","1.4",0.113716529255805,0.121926913502492,1296,-0.178553511763499,0.405986570275108
"47","0.25","2","0.75","1.4",1.92922302342746,0.0862153473467575,1296,1.72255689548504,2.13588915136988,"nu0 - nu0.5","2","0.75","1.4",0.266296631695003,0.121926913502492,1296,-0.0259734093243015,0.558566672714307
"48","0.5","2","0.75","1.4",1.77664292098826,0.0862153473467556,1296,1.56997679304585,1.98330904893068,"nu0.25 - nu0.5","2","0.75","1.4",0.152580102439198,0.121926913502492,1296,-0.139689938580105,0.4448501434585
"49","0","1.25","0","1.75",11.3011399008678,0.086215347346757,1296,11.0944737729253,11.5078060288102,"nu0 - nu0.25","1.25","0","1.75",5.98994975407268,0.121926913502492,1296,5.69767971305338,6.28221979509199
"50","0.25","1.25","0","1.75",5.31119014679508,0.0862153473467578,1296,5.10452401885266,5.5178562747375,"nu0 - nu0.5","1.25","0","1.75",7.34480089723348,0.121926913502492,1296,7.05253085621418,7.63707093825278
"51","0.5","1.25","0","1.75",3.95633900363429,0.0862153473467574,1296,3.74967287569187,4.16300513157671,"nu0.25 - nu0.5","1.25","0","1.75",1.3548511431608,0.121926913502492,1296,1.06258110214149,1.6471211841801
"52","0","1.5","0","1.75",8.75123677767088,0.0862153473467569,1296,8.54457064972847,8.9579029056133,"nu0 - nu0.25","1.5","0","1.75",4.07000620559703,0.121926913502491,1296,3.77773616457773,4.36227624661634
"53","0.25","1.5","0","1.75",4.68123057207385,0.0862153473467577,1296,4.47456444413143,4.88789670001627,"nu0 - nu0.5","1.5","0","1.75",5.09643700606945,0.121926913502491,1296,4.80416696505015,5.38870704708876
"54","0.5","1.5","0","1.75",3.65479977160143,0.0862153473467576,1296,3.44813364365901,3.86146589954385,"nu0.25 - nu0.5","1.5","0","1.75",1.02643080047242,0.121926913502492,1296,0.734160759453116,1.31870084149172
"55","0","1.75","0","1.75",7.18311786233429,0.0862153473467571,1296,6.97645173439187,7.38978399027671,"nu0 - nu0.25","1.75","0","1.75",2.82137432152866,0.121926913502491,1296,2.52910428050936,3.11364436254796
"56","0.25","1.75","0","1.75",4.36174354080563,0.086215347346757,1296,4.15507741286321,4.56840966874805,"nu0 - nu0.5","1.75","0","1.75",3.69885786368772,0.121926913502491,1296,3.40658782266842,3.99112790470702
"57","0.5","1.75","0","1.75",3.48425999864657,0.0862153473467576,1296,3.27759387070415,3.69092612658899,"nu0.25 - nu0.5","1.75","0","1.75",0.877483542159062,0.121926913502492,1296,0.585213501139759,1.16975358317836
"58","0","2","0","1.75",6.19341350864079,0.0862153473467571,1296,5.98674738069837,6.40007963658321,"nu0 - nu0.25","2","0","1.75",2.17184932493266,0.121926913502491,1296,1.87957928391336,2.46411936595196
"59","0.25","2","0","1.75",4.02156418370813,0.0862153473467575,1296,3.81489805576571,4.22823031165055,"nu0 - nu0.5","2","0","1.75",2.91954336450559,0.121926913502492,1296,2.62727332348629,3.2118134055249
"60","0.5","2","0","1.75",3.2738701441352,0.0862153473467576,1296,3.06720401619278,3.48053627207762,"nu0.25 - nu0.5","2","0","1.75",0.747694039572936,0.121926913502492,1296,0.455423998553633,1.03996408059224
"61","0","1.25","0.25","1.75",7.67950184785244,0.0862153473467577,1296,7.47283571991002,7.88616797579486,"nu0 - nu0.25","1.25","0.25","1.75",3.17368729162199,0.121926913502492,1296,2.88141725060269,3.4659573326413
"62","0.25","1.25","0.25","1.75",4.50581455623044,0.0862153473467574,1296,4.29914842828802,4.71248068417286,"nu0 - nu0.5","1.25","0.25","1.75",4.11659686136939,0.121926913502492,1296,3.82432682035009,4.4088669023887
"63","0.5","1.25","0.25","1.75",3.56290498648304,0.0862153473467578,1296,3.35623885854062,3.76957111442546,"nu0.25 - nu0.5","1.25","0.25","1.75",0.942909569747399,0.121926913502492,1296,0.650639528728096,1.2351796107667
"64","0","1.5","0.25","1.75",6.09474391264618,0.0862153473467575,1296,5.88807778470376,6.3014100405886,"nu0 - nu0.25","1.5","0.25","1.75",2.1945720833363,0.121926913502491,1296,1.90230204231699,2.4868421243556
"65","0.25","1.5","0.25","1.75",3.90017182930988,0.0862153473467574,1296,3.69350570136746,4.1068379572523,"nu0 - nu0.5","1.5","0.25","1.75",2.89484632132652,0.121926913502492,1296,2.60257628030722,3.18711636234583
