"","betap_poly","nu_poly","vaxrate_poly","beta_poly","estimate","SE","df","t.ratio","p.value"
"1","linear","linear","linear","linear",51.121,3.449,1296,14.824,0
"2","quadratic","linear","linear","linear",-7.068,1.542,1296,-4.583,0
"3","cubic","linear","linear","linear",3.814,3.449,1296,1.106,0.269
"4","linear","quadratic","linear","linear",-58.393,5.973,1296,-9.776,0
"5","quadratic","quadratic","linear","linear",3.43,2.671,1296,1.284,0.199
"6","cubic","quadratic","linear","linear",-1.849,5.973,1296,-0.309,0.757
"7","linear","linear","quadratic","linear",-15.707,1.542,1296,-10.184,0
"8","quadratic","linear","quadratic","linear",1.495,0.69,1296,2.167,0.03
"9","cubic","linear","quadratic","linear",0.118,1.542,1296,0.077,0.939
"10","linear","quadratic","quadratic","linear",11.797,2.671,1296,4.416,0
"11","quadratic","quadratic","quadratic","linear",-0.872,1.195,1296,-0.73,0.466
"12","cubic","quadratic","quadratic","linear",-2.021,2.671,1296,-0.757,0.449
"13","linear","linear","cubic","linear",13.121,3.449,1296,3.805,0
"14","quadratic","linear","cubic","linear",-1.199,1.542,1296,-0.778,0.437
"15","cubic","linear","cubic","linear",-1.842,3.449,1296,-0.534,0.593
"16","linear","quadratic","cubic","linear",-16.392,5.973,1296,-2.744,0.006
"17","quadratic","quadratic","cubic","linear",-0.895,2.671,1296,-0.335,0.738
"18","cubic","quadratic","cubic","linear",-2.935,5.973,1296,-0.491,0.623
"19","linear","linear","linear","quadratic",-8.065,5.973,1296,-1.35,0.177
"20","quadratic","linear","linear","quadratic",0.907,2.671,1296,0.34,0.734
"21","cubic","linear","linear","quadratic",-2.674,5.973,1296,-0.448,0.654
"22","linear","quadratic","linear","quadratic",-2.329,10.346,1296,-0.225,0.822
"23","quadratic","quadratic","linear","quadratic",-2.861,4.627,1296,-0.618,0.536
"24","cubic","quadratic","linear","quadratic",-0.703,10.346,1296,-0.068,0.946
"25","linear","linear","quadratic","quadratic",2.443,2.671,1296,0.914,0.361
"26","quadratic","linear","quadratic","quadratic",0.076,1.195,1296,0.064,0.949
"27","cubic","linear","quadratic","quadratic",0.119,2.671,1296,0.044,0.965
"28","linear","quadratic","quadratic","quadratic",-2.811,4.627,1296,-0.608,0.544
"29","quadratic","quadratic","quadratic","quadratic",-2.905,2.069,1296,-1.404,0.161
"30","cubic","quadratic","quadratic","quadratic",-3.531,4.627,1296,-0.763,0.445
"31","linear","linear","cubic","quadratic",2.023,5.973,1296,0.339,0.735
"32","quadratic","linear","cubic","quadratic",-1.858,2.671,1296,-0.696,0.487
"33","cubic","linear","cubic","quadratic",-0.178,5.973,1296,-0.03,0.976
"34","linear","quadratic","cubic","quadratic",-2.709,10.346,1296,-0.262,0.793
"35","quadratic","quadratic","cubic","quadratic",4.434,4.627,1296,0.958,0.338
"36","cubic","quadratic","cubic","quadratic",-4.141,10.346,1296,-0.4,0.689
