"","contrast","nu","betap","beta","estimate","SE","df","lower.CL","upper.CL"
"1","vaxrate0 - vaxrate0.25","0","1.25","1.4",6.45699848201431,0.121926913502492,1296,6.13482924921926,6.77916771480936
"2","vaxrate0 - vaxrate0.5","0","1.25","1.4",9.76777005195813,0.121926913502492,1296,9.44560081916308,10.0899392847532
"3","vaxrate0 - vaxrate0.75","0","1.25","1.4",11.9609016292523,0.121926913502493,1296,11.6387323964572,12.2830708620473
"4","vaxrate0.25 - vaxrate0.5","0","1.25","1.4",3.31077156994382,0.121926913502492,1296,2.98860233714877,3.63294080273887
"5","vaxrate0.25 - vaxrate0.75","0","1.25","1.4",5.50390314723798,0.121926913502492,1296,5.18173391444293,5.82607238003303
"6","vaxrate0.5 - vaxrate0.75","0","1.25","1.4",2.19313157729416,0.121926913502492,1296,1.87096234449911,2.51530081008921
"7","vaxrate0 - vaxrate0.25","0.25","1.25","1.4",1.06672196192718,0.121926913502492,1296,0.744552729132135,1.38889119472223
"8","vaxrate0 - vaxrate0.5","0.25","1.25","1.4",2.14002169208671,0.121926913502492,1296,1.81785245929166,2.46219092488175
"9","vaxrate0 - vaxrate0.75","0.25","1.25","1.4",3.13533925086217,0.121926913502492,1296,2.81317001806713,3.45750848365722
"10","vaxrate0.25 - vaxrate0.5","0.25","1.25","1.4",1.07329973015952,0.121926913502492,1296,0.751130497364477,1.39546896295457
"11","vaxrate0.25 - vaxrate0.75","0.25","1.25","1.4",2.06861728893499,0.121926913502492,1296,1.74644805613994,2.39078652173004
"12","vaxrate0.5 - vaxrate0.75","0.25","1.25","1.4",0.995317558775466,0.121926913502492,1296,0.673148325980419,1.31748679157051
"13","vaxrate0 - vaxrate0.25","0.5","1.25","1.4",0.424437860012759,0.121926913502492,1296,0.102268627217712,0.746607092807805
"14","vaxrate0 - vaxrate0.5","0.5","1.25","1.4",1.20618944440058,0.121926913502492,1296,0.884020211605534,1.52835867719563
"15","vaxrate0 - vaxrate0.75","0.5","1.25","1.4",1.94355513562424,0.121926913502492,1296,1.6213859028292,2.26572436841929
"16","vaxrate0.25 - vaxrate0.5","0.5","1.25","1.4",0.781751584387823,0.121926913502492,1296,0.459582351592774,1.10392081718287
"17","vaxrate0.25 - vaxrate0.75","0.5","1.25","1.4",1.51911727561149,0.121926913502493,1296,1.19694804281644,1.84128650840653
"18","vaxrate0.5 - vaxrate0.75","0.5","1.25","1.4",0.737365691223663,0.121926913502492,1296,0.415196458428614,1.05953492401871
"19","vaxrate0 - vaxrate0.25","0","1.5","1.4",4.27471279641487,0.121926913502492,1296,3.95254356361982,4.59688202920991
"20","vaxrate0 - vaxrate0.5","0","1.5","1.4",6.38203972974172,0.121926913502492,1296,6.05987049694667,6.70420896253677
"21","vaxrate0 - vaxrate0.75","0","1.5","1.4",7.95901159491286,0.121926913502492,1296,7.63684236211781,8.2811808277079
"22","vaxrate0.25 - vaxrate0.5","0","1.5","1.4",2.10732693332685,0.121926913502492,1296,1.7851577005318,2.4294961661219
"23","vaxrate0.25 - vaxrate0.75","0","1.5","1.4",3.68429879849799,0.121926913502492,1296,3.36212956570294,4.00646803129303
"24","vaxrate0.5 - vaxrate0.75","0","1.5","1.4",1.57697186517114,0.121926913502492,1296,1.25480263237609,1.89914109796619
"25","vaxrate0 - vaxrate0.25","0.25","1.5","1.4",0.684258027164714,0.121926913502492,1296,0.362088794369667,1.00642725995976
"26","vaxrate0 - vaxrate0.5","0.25","1.5","1.4",1.60547231377113,0.121926913502492,1296,1.28330308097609,1.92764154656618
"27","vaxrate0 - vaxrate0.75","0.25","1.5","1.4",2.5254241213759,0.121926913502492,1296,2.20325488858086,2.84759335417095
"28","vaxrate0.25 - vaxrate0.5","0.25","1.5","1.4",0.921214286606421,0.121926913502492,1296,0.599045053811372,1.24338351940147
"29","vaxrate0.25 - vaxrate0.75","0.25","1.5","1.4",1.84116609421119,0.121926913502492,1296,1.51899686141614,2.16333532700624
"30","vaxrate0.5 - vaxrate0.75","0.25","1.5","1.4",0.919951807604768,0.121926913502492,1296,0.59778257480972,1.24212104039982
"31","vaxrate0 - vaxrate0.25","0.5","1.5","1.4",0.504798932674888,0.121926913502492,1296,0.182629699879841,0.826968165469935
"32","vaxrate0 - vaxrate0.5","0.5","1.5","1.4",1.16700356714722,0.121926913502492,1296,0.844834334352178,1.48917279994227
