"","areaType","areaName","areaCode","date","variant","cumWeeklySequenced","newWeeklyPercentage"
"1","nation","England","E92000001","2021-02-14","Other",236135,2.69
"2","nation","England","E92000001","2021-02-14","V-20DEC-01 (Alpha)",236135,97.31
"3","nation","England","E92000001","2021-02-14","V-21APR-02 (Delta B.1.617.2)",0,0
"4","nation","England","E92000001","2021-02-14","V-21OCT-01 (Delta AY 4.2)",0,0
"5","nation","England","E92000001","2021-02-14","V-22DEC-01 (Omicron CH.1.1)",0,0
"6","nation","England","E92000001","2021-02-14","V-22JUL-01 (Omicron BA.2.75)",0,0
"7","nation","England","E92000001","2021-02-14","V-22OCT-01 (Omicron BQ.1)",0,0
"8","nation","England","E92000001","2021-02-14","VOC-21NOV-01 (Omicron BA.1)",0,0
"9","nation","England","E92000001","2021-02-14","VOC-22APR-03 (Omicron BA.4)",0,0
"10","nation","England","E92000001","2021-02-14","VOC-22APR-04 (Omicron BA.5)",0,0
"11","nation","England","E92000001","2021-02-14","VOC-22JAN-01 (Omicron BA.2)",0,0
"12","nation","England","E92000001","2021-02-14","unclassified_variant",0,0
"13","nation","England","E92000001","2021-02-21","Other",249502,2.48
"14","nation","England","E92000001","2021-02-21","V-20DEC-01 (Alpha)",249502,97.52
"15","nation","England","E92000001","2021-02-21","V-21APR-02 (Delta B.1.617.2)",0,0
"16","nation","England","E92000001","2021-02-21","V-21OCT-01 (Delta AY 4.2)",0,0
"17","nation","England","E92000001","2021-02-21","V-22DEC-01 (Omicron CH.1.1)",0,0
"18","nation","England","E92000001","2021-02-21","V-22JUL-01 (Omicron BA.2.75)",0,0
"19","nation","England","E92000001","2021-02-21","V-22OCT-01 (Omicron BQ.1)",0,0
"20","nation","England","E92000001","2021-02-21","VOC-21NOV-01 (Omicron BA.1)",0,0
"21","nation","England","E92000001","2021-02-21","VOC-22APR-03 (Omicron BA.4)",0,0
"22","nation","England","E92000001","2021-02-21","VOC-22APR-04 (Omicron BA.5)",0,0
"23","nation","England","E92000001","2021-02-21","VOC-22JAN-01 (Omicron BA.2)",0,0
"24","nation","England","E92000001","2021-02-21","unclassified_variant",0,0
"25","nation","England","E92000001","2021-02-28","Other",261207,2.96
"26","nation","England","E92000001","2021-02-28","V-20DEC-01 (Alpha)",261207,97.04
"27","nation","England","E92000001","2021-02-28","V-21APR-02 (Delta B.1.617.2)",0,0
"28","nation","England","E92000001","2021-02-28","V-21OCT-01 (Delta AY 4.2)",0,0
"29","nation","England","E92000001","2021-02-28","V-22DEC-01 (Omicron CH.1.1)",0,0
"30","nation","England","E92000001","2021-02-28","V-22JUL-01 (Omicron BA.2.75)",0,0
"31","nation","England","E92000001","2021-02-28","V-22OCT-01 (Omicron BQ.1)",0,0
"32","nation","England","E92000001","2021-02-28","VOC-21NOV-01 (Omicron BA.1)",0,0
"33","nation","England","E92000001","2021-02-28","VOC-22APR-03 (Omicron BA.4)",0,0
"34","nation","England","E92000001","2021-02-28","VOC-22APR-04 (Omicron BA.5)",0,0
"35","nation","England","E92000001","2021-02-28","VOC-22JAN-01 (Omicron BA.2)",0,0
"36","nation","England","E92000001","2021-02-28","unclassified_variant",0,0
"37","nation","England","E92000001","2021-03-07","Other",274285,2.7
"38","nation","England","E92000001","2021-03-07","V-20DEC-01 (Alpha)",274285,97.3
"39","nation","England","E92000001","2021-03-07","V-21APR-02 (Delta B.1.617.2)",0,0
"40","nation","England","E92000001","2021-03-07","V-21OCT-01 (Delta AY 4.2)",0,0
"41","nation","England","E92000001","2021-03-07","V-22DEC-01 (Omicron CH.1.1)",0,0
"42","nation","England","E92000001","2021-03-07","V-22JUL-01 (Omicron BA.2.75)",0,0
"43","nation","England","E92000001","2021-03-07","V-22OCT-01 (Omicron BQ.1)",0,0
"44","nation","England","E92000001","2021-03-07","VOC-21NOV-01 (Omicron BA.1)",0,0
"45","nation","England","E92000001","2021-03-07","VOC-22APR-03 (Omicron BA.4)",0,0
"46","nation","England","E92000001","2021-03-07","VOC-22APR-04 (Omicron BA.5)",0,0
"47","nation","England","E92000001","2021-03-07","VOC-22JAN-01 (Omicron BA.2)",0,0
