"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"1","betap1.25 - betap1.5","0","0","1.4",4.71280499356794,0.0628572430150342,4752,4.54690193790225,4.87870804923364
"2","betap1.25 - betap1.75","0","0","1.4",7.39021452295204,0.0628572430150341,4752,7.22431146728635,7.55611757861773
"3","betap1.25 - betap2","0","0","1.4",8.71835480397675,0.0628572430150345,4752,8.55245174831106,8.88425785964244
"4","betap1.5 - betap1.75","0","0","1.4",2.67740952938409,0.062857243015034,4752,2.5115064737184,2.84331258504979
"5","betap1.5 - betap2","0","0","1.4",4.00554981040881,0.0628572430150342,4752,3.83964675474311,4.1714528660745
"6","betap1.75 - betap2","0","0","1.4",1.32814028102471,0.0628572430150344,4752,1.16223722535902,1.4940433366904
"7","betap1.25 - betap1.5","0.3","0","1.4",0.547759427669316,0.0628572430150352,4752,0.381856372003621,0.713662483335011
"8","betap1.25 - betap1.75","0.3","0","1.4",0.92728857706448,0.062857243015035,4752,0.761385521398786,1.09319163273017
"9","betap1.25 - betap2","0.3","0","1.4",1.19785232190564,0.0628572430150357,4752,1.03194926623994,1.36375537757133
"10","betap1.5 - betap1.75","0.3","0","1.4",0.379529149395164,0.0628572430150346,4752,0.213626093729471,0.545432205060857
"11","betap1.5 - betap2","0.3","0","1.4",0.650092894236319,0.0628572430150346,4752,0.484189838570626,0.815995949902012
"12","betap1.75 - betap2","0.3","0","1.4",0.270563744841156,0.0628572430150339,4752,0.104660689175464,0.436466800506847
"13","betap1.25 - betap1.5","0","0.3","1.4",1.84864408058438,0.0628572430150347,4752,1.68274102491869,2.01454713625008
"14","betap1.25 - betap1.75","0","0.3","1.4",2.69025666744017,0.0628572430150351,4752,2.52435361177448,2.85615972310587
"15","betap1.25 - betap2","0","0.3","1.4",3.30340396808818,0.0628572430150356,4752,3.13750091242249,3.46930702375388
"16","betap1.5 - betap1.75","0","0.3","1.4",0.841612586855786,0.0628572430150341,4752,0.675709531190094,1.00751564252148
"17","betap1.5 - betap2","0","0.3","1.4",1.4547598875038,0.0628572430150341,4752,1.28885683183811,1.62066294316949
"18","betap1.75 - betap2","0","0.3","1.4",0.613147300648012,0.0628572430150341,4752,0.447244244982321,0.779050356313704
"19","betap1.25 - betap1.5","0.3","0.3","1.4",0.384340733972691,0.0628572430150334,4752,0.218437678307001,0.550243789638381
"20","betap1.25 - betap1.75","0.3","0.3","1.4",0.628104030287758,0.0628572430150337,4752,0.462200974622067,0.794007085953449
"21","betap1.25 - betap2","0.3","0.3","1.4",0.889676871841521,0.0628572430150322,4752,0.723773816175834,1.05557992750721
"22","betap1.5 - betap1.75","0.3","0.3","1.4",0.243763296315067,0.062857243015034,4752,0.0778602406493756,0.409666351980759
"23","betap1.5 - betap2","0.3","0.3","1.4",0.50533613786883,0.0628572430150333,4752,0.33943308220314,0.671239193534519
"24","betap1.75 - betap2","0.3","0.3","1.4",0.261572841553763,0.0628572430150335,4752,0.0956697858880726,0.427475897219453
"25","betap1.25 - betap1.5","0","0","1.75",2.61716201279374,0.062857243015034,4752,2.45125895712805,2.78306506845944
"26","betap1.25 - betap1.75","0","0","1.75",4.12667532384081,0.0628572430150335,4752,3.96077226817512,4.2925783795065
"27","betap1.25 - betap2","0","0","1.75",5.13807977583087,0.0628572430150346,4752,4.97217672016517,5.30398283149656
"28","betap1.5 - betap1.75","0","0","1.75",1.50951331104706,0.0628572430150349,4752,1.34361025538137,1.67541636671276
"29","betap1.5 - betap2","0","0","1.75",2.52091776303712,0.0628572430150355,4752,2.35501470737143,2.68682081870282
"30","betap1.75 - betap2","0","0","1.75",1.01140445199006,0.0628572430150338,4752,0.845501396324368,1.17730750765575
"31","betap1.25 - betap1.5","0.3","0","1.75",0.463449202128803,0.0628572430150338,4752,0.297546146463112,0.629352257794494
"32","betap1.25 - betap1.75","0.3","0","1.75",0.857544243045221,0.0628572430150343,4752,0.691641187379528,1.02344729871091
"33","betap1.25 - betap2","0.3","0","1.75",1.12490314696476,0.0628572430150334,4752,0.959000091299072,1.29080620263045
"34","betap1.5 - betap1.75","0.3","0","1.75",0.394095040916418,0.0628572430150345,4752,0.228191985250725,0.559998096582111
"35","betap1.5 - betap2","0.3","0","1.75",0.661453944835959,0.0628572430150342,4752,0.495550889170267,0.827357000501651
"36","betap1.75 - betap2","0.3","0","1.75",0.267358903919541,0.062857243015035,4752,0.101455848253847,0.433261959585235
"37","betap1.25 - betap1.5","0","0.3","1.75",1.55575432004982,0.0628572430150342,4752,1.38985126438413,1.72165737571551
"38","betap1.25 - betap1.75","0","0.3","1.75",2.41119788979146,0.0628572430150346,4752,2.24529483412576,2.57710094545715
"39","betap1.25 - betap2","0","0.3","1.75",2.97139429880313,0.0628572430150348,4752,2.80549124313744,3.13729735446883
"40","betap1.5 - betap1.75","0","0.3","1.75",0.855443569741633,0.0628572430150341,4752,0.689540514075941,1.02134662540732
"41","betap1.5 - betap2","0","0.3","1.75",1.41563997875331,0.0628572430150342,4752,1.24973692308762,1.581543034419
"42","betap1.75 - betap2","0","0.3","1.75",0.560196409011677,0.0628572430150354,4752,0.394293353345982,0.726099464677372
"43","betap1.25 - betap1.5","0.3","0.3","1.75",0.381870417253355,0.062857243015034,4752,0.215967361587663,0.547773472919046
"44","betap1.25 - betap1.75","0.3","0.3","1.75",0.672242096679382,0.0628572430150346,4752,0.506339041013688,0.838145152345075
"45","betap1.25 - betap2","0.3","0.3","1.75",0.894948552425432,0.062857243015034,4752,0.72904549675974,1.06085160809112
"46","betap1.5 - betap1.75","0.3","0.3","1.75",0.290371679426027,0.0628572430150332,4752,0.124468623760337,0.456274735091716
