"","nu","vaxrate","beta","betap","contrast","emmean","SE","df","lower.CL","upper.CL"
"1","0","0","1.4","1.25",".",14.9941759171642,0.0444467827826215,4752,14.8414529029474,15.1468989313811
"2","0","0","1.4","1.5",".",10.2813709235963,0.0444467827826211,4752,10.1286479093794,10.4340939378131
"3","0","0","1.4","1.75",".",7.60396139421218,0.0444467827826218,4752,7.45123837999532,7.75668440842905
"4","0","0","1.4","2",".",6.27582111318747,0.0444467827826206,4752,6.12309809897061,6.42854412740433
"5","0.3","0","1.4","1.25",".",5.036850635588,0.0444467827826225,4752,4.88412762137113,5.18957364980486
"6","0.3","0","1.4","1.5",".",4.48909120791868,0.0444467827826215,4752,4.33636819370182,4.64181422213554
"7","0.3","0","1.4","1.75",".",4.10956205852352,0.0444467827826215,4752,3.95683904430665,4.26228507274038
"8","0.3","0","1.4","2",".",3.83899831368236,0.0444467827826239,4752,3.68627529946549,3.99172132789923
"9","0","0.3","1.4","1.25",".",7.55078178083781,0.0444467827826221,4752,7.39805876662094,7.70350479505467
"10","0","0.3","1.4","1.5",".",5.70213770025342,0.0444467827826212,4752,5.54941468603656,5.85486071447029
"11","0","0.3","1.4","1.75",".",4.86052511339764,0.0444467827826217,4752,4.70780209918077,5.0132481276145
"12","0","0.3","1.4","2",".",4.24737781274962,0.0444467827826228,4752,4.09465479853276,4.40010082696649
"13","0.3","0.3","1.4","1.25",".",3.9849752173114,0.0444467827826209,4752,3.83225220309454,4.13769823152826
"14","0.3","0.3","1.4","1.5",".",3.60063448333871,0.0444467827826212,4752,3.44791146912185,3.75335749755557
"15","0.3","0.3","1.4","1.75",".",3.35687118702364,0.0444467827826215,4752,3.20414817280678,3.50959420124051
"16","0.3","0.3","1.4","2",".",3.09529834546988,0.0444467827826168,4752,2.94257533125303,3.24802135968673
"17","0","0","1.75","1.25",".",11.3198666143811,0.0444467827826211,4752,11.1671436001642,11.472589628598
"18","0","0","1.75","1.5",".",8.70270460158735,0.0444467827826221,4752,8.54998158737048,8.85542761580422
"19","0","0","1.75","1.75",".",7.19319129054029,0.044446782782621,4752,7.04046827632343,7.34591430475715
"20","0","0","1.75","2",".",6.18178683855023,0.0444467827826217,4752,6.02906382433336,6.33450985276709
"21","0.3","0","1.75","1.25",".",4.94681227097833,0.0444467827826212,4752,4.79408925676147,5.09953528519519
"22","0.3","0","1.75","1.5",".",4.48336306884953,0.0444467827826217,4752,4.33064005463266,4.63608608306639
"23","0.3","0","1.75","1.75",".",4.08926802793311,0.0444467827826221,4752,3.93654501371624,4.24199104214997
"24","0.3","0","1.75","2",".",3.82190912401357,0.0444467827826221,4752,3.6691861097967,3.97463213823043
"25","0","0.3","1.75","1.25",".",7.20621303348584,0.0444467827826216,4752,7.05349001926897,7.3589360477027
"26","0","0.3","1.75","1.5",".",5.65045871343602,0.0444467827826215,4752,5.49773569921915,5.80318172765288
"27","0","0.3","1.75","1.75",".",4.79501514369438,0.044446782782622,4752,4.64229212947752,4.94773815791125
"28","0","0.3","1.75","2",".",4.23481873468271,0.0444467827826217,4752,4.08209572046584,4.38754174889957
"29","0.3","0.3","1.75","1.25",".",3.98924935103066,0.0444467827826218,4752,3.83652633681379,4.14197236524752
"30","0.3","0.3","1.75","1.5",".",3.6073789337773,0.0444467827826204,4752,3.45465591956044,3.76010194799416
"31","0.3","0.3","1.75","1.75",".",3.31700725435128,0.0444467827826212,4752,3.16428424013441,3.46973026856814
"32","0.3","0.3","1.75","2",".",3.09430079860523,0.0444467827826196,4752,2.94157778438837,3.24702381282208
"33","0","0","2.1","1.25",".",8.87392257648592,0.0444467827826207,4752,8.72119956226905,9.02664559070278
"34","0","0","2.1","1.5",".",7.6108911269915,0.0444467827826222,4752,7.45816811277464,7.76361414120837
"35","0","0","2.1","1.75",".",6.64190338780639,0.0444467827826208,4752,6.48918037358953,6.79462640202325
"36","0","0","2.1","2",".",5.84012867036247,0.0444467827826212,4752,5.68740565614561,5.99285168457934
"37","0.3","0","2.1","1.25",".",4.89131674128926,0.0444467827826212,4752,4.7385937270724,5.04403975550612
