"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"1","betap1.25 - betap1.5","0","0","1.4",1.52724969451404,0.100527229720845,4614,1.26191856054674,1.79258082848134
"2","betap1.25 - betap1.75","0","0","1.4",2.93223840359438,0.100527229720845,4614,2.66690726962708,3.19756953756168
"3","betap1.25 - betap2","0","0","1.4",3.54432683680127,0.100527229720846,4614,3.27899570283397,3.80965797076858
"4","betap1.5 - betap1.75","0","0","1.4",1.40498870908035,0.0278812370260692,4614,1.33139909304217,1.47857832511852
"5","betap1.5 - betap2","0","0","1.4",2.01707714228724,0.027881237026069,4614,1.94348752624907,2.09066675832541
"6","betap1.75 - betap2","0","0","1.4",0.612088433206892,0.0278812370260691,4614,0.538498817168721,0.685678049245062
"7","betap1.25 - betap1.5","0.3","0","1.4",0.344881020300288,0.0278812370260695,4614,0.271291404262117,0.41847063633846
"8","betap1.25 - betap1.75","0.3","0","1.4",0.524254915253386,0.0278812370260693,4614,0.450665299215214,0.597844531291557
"9","betap1.25 - betap2","0.3","0","1.4",0.715696036984668,0.0278812370260693,4614,0.642106420946496,0.789285653022839
"10","betap1.5 - betap1.75","0.3","0","1.4",0.179373894953097,0.0278812370260698,4614,0.105784278914924,0.25296351099127
"11","betap1.5 - betap2","0.3","0","1.4",0.370815016684379,0.0278812370260702,4614,0.297225400646206,0.444404632722553
"12","betap1.75 - betap2","0.3","0","1.4",0.191441121731282,0.0278812370260697,4614,0.11785150569311,0.265030737769455
"13","betap1.25 - betap1.5","0","0.3","1.4",0.853197119183611,0.0278812370260694,4614,0.779607503145439,0.926786735221782
"14","betap1.25 - betap1.75","0","0.3","1.4",1.27609068811882,0.0278812370260696,4614,1.20250107208064,1.34968030415699
"15","betap1.25 - betap2","0","0.3","1.4",1.57030798599103,0.0278812370260699,4614,1.49671836995285,1.6438976020292
"16","betap1.5 - betap1.75","0","0.3","1.4",0.422893568935206,0.0278812370260694,4614,0.349303952897034,0.496483184973377
"17","betap1.5 - betap2","0","0.3","1.4",0.717110866807416,0.027881237026069,4614,0.643521250769245,0.790700482845587
"18","betap1.75 - betap2","0","0.3","1.4",0.29421729787221,0.0278812370260693,4614,0.220627681834039,0.367806913910382
"19","betap1.25 - betap1.5","0.3","0.3","1.4",0.249748164425792,0.0278812370260693,4614,0.176158548387621,0.323337780463964
"20","betap1.25 - betap1.75","0.3","0.3","1.4",0.434440860758228,0.0278812370260693,4614,0.360851244720056,0.508030476796399
"21","betap1.25 - betap2","0.3","0.3","1.4",0.574984668215913,0.0278812370260691,4614,0.501395052177742,0.648574284254084
"22","betap1.5 - betap1.75","0.3","0.3","1.4",0.184692696332435,0.0278812370260697,4614,0.111103080294263,0.258282312370608
"23","betap1.5 - betap2","0.3","0.3","1.4",0.325236503790121,0.027881237026069,4614,0.25164688775195,0.398826119828291
"24","betap1.75 - betap2","0.3","0.3","1.4",0.140543807457685,0.0278812370260693,4614,0.066954191419514,0.214133423495857
"25","betap1.25 - betap1.5","0","0","1.75",1.98731521337817,0.0278812370260691,4614,1.91372559734,2.06090482941634
"26","betap1.25 - betap1.75","0","0","1.75",2.82618010120791,0.0278812370260693,4614,2.75259048516974,2.89976971724608
"27","betap1.25 - betap2","0","0","1.75",3.38285348981831,0.0278812370260691,4614,3.30926387378014,3.45644310585648
"28","betap1.5 - betap1.75","0","0","1.75",0.838864887829735,0.0278812370260689,4614,0.765275271791565,0.912454503867905
"29","betap1.5 - betap2","0","0","1.75",1.39553827644014,0.0278812370260686,4614,1.32194866040197,1.46912789247831
"30","betap1.75 - betap2","0","0","1.75",0.556673388610404,0.0278812370260692,4614,0.483083772572233,0.630263004648575
"31","betap1.25 - betap1.5","0.3","0","1.75",0.266256829482511,0.0278812370260693,4614,0.19266721344434,0.339846445520682
"32","betap1.25 - betap1.75","0.3","0","1.75",0.474313792136741,0.0278812370260693,4614,0.400724176098569,0.547903408174912
"33","betap1.25 - betap2","0.3","0","1.75",0.634308416438104,0.0278812370260694,4614,0.560718800399932,0.707898032476275
"34","betap1.5 - betap1.75","0.3","0","1.75",0.20805696265423,0.0278812370260691,4614,0.134467346616059,0.281646578692401
"35","betap1.5 - betap2","0.3","0","1.75",0.368051586955593,0.0278812370260689,4614,0.294461970917422,0.441641202993763
"36","betap1.75 - betap2","0.3","0","1.75",0.159994624301363,0.0278812370260691,4614,0.086405008263192,0.233584240339534
"37","betap1.25 - betap1.5","0","0.3","1.75",0.714583751015932,0.0278812370260693,4614,0.640994134977761,0.788173367054104
"38","betap1.25 - betap1.75","0","0.3","1.75",1.13842931155069,0.0278812370260694,4614,1.06483969551252,1.21201892758886
"39","betap1.25 - betap2","0","0.3","1.75",1.37739315732247,0.0278812370260695,4614,1.3038035412843,1.45098277336064
"40","betap1.5 - betap1.75","0","0.3","1.75",0.42384556053476,0.0278812370260695,4614,0.350255944496589,0.497435176572932
"41","betap1.5 - betap2","0","0.3","1.75",0.662809406306538,0.0278812370260696,4614,0.589219790268365,0.73639902234471
"42","betap1.75 - betap2","0","0.3","1.75",0.238963845771777,0.0278812370260692,4614,0.165374229733606,0.312553461809948
"43","betap1.25 - betap1.5","0.3","0.3","1.75",0.219965260485836,0.0278812370260691,4614,0.146375644447665,0.293554876524007
"44","betap1.25 - betap1.75","0.3","0.3","1.75",0.400246234526688,0.0278812370260693,4614,0.326656618488516,0.473835850564859
"45","betap1.25 - betap2","0.3","0.3","1.75",0.554769230163241,0.0278812370260687,4614,0.481179614125072,0.628358846201411
"46","betap1.5 - betap1.75","0.3","0.3","1.75",0.180280974040851,0.0278812370260697,4614,0.106691358002679,0.253870590079024
"47","betap1.5 - betap2","0.3","0.3","1.75",0.334803969677405,0.0278812370260693,4614,0.261214353639234,0.408393585715577
"48","betap1.75 - betap2","0.3","0.3","1.75",0.154522995636554,0.0278812370260702,4614,0.0809333795983801,0.228112611674727
"49","betap1.25 - betap1.5","0","0","2.1",1.02257046385828,0.0278812370260696,4614,0.948980847820105,1.09616007989645
"50","betap1.25 - betap1.75","0","0","2.1",1.64076658828495,0.0278812370260696,4614,1.56717697224678,1.71435620432313
"51","betap1.25 - betap2","0","0","2.1",2.03715413088893,0.0278812370260701,4614,1.96356451485076,2.11074374692711
"52","betap1.5 - betap1.75","0","0","2.1",0.618196124426676,0.0278812370260698,4614,0.544606508388503,0.691785740464848
"53","betap1.5 - betap2","0","0","2.1",1.01458366703066,0.0278812370260693,4614,0.940994050992484,1.08817328306883
"54","betap1.75 - betap2","0","0","2.1",0.39638754260398,0.0278812370260691,4614,0.322797926565809,0.46997715864215
"55","betap1.25 - betap1.5","0.3","0","2.1",0.279498161572327,0.0278812370260695,4614,0.205908545534155,0.353087777610499
"56","betap1.25 - betap1.75","0.3","0","2.1",0.49934330258342,0.0278812370260694,4614,0.425753686545248,0.572932918621591
"57","betap1.25 - betap2","0.3","0","2.1",0.632853049243552,0.0284010385216406,4614,0.557891471393234,0.707814627093869
"58","betap1.5 - betap1.75","0.3","0","2.1",0.219845141011092,0.0278812370260696,4614,0.14625552497292,0.293434757049265
"59","betap1.5 - betap2","0.3","0","2.1",0.353354887671225,0.028401038521642,4614,0.278393309820904,0.428316465521546
"60","betap1.75 - betap2","0.3","0","2.1",0.133509746660132,0.0284010385216418,4614,0.0585481688098115,0.208471324510453
"61","betap1.25 - betap1.5","0","0.3","2.1",0.602595461051606,0.0278812370260685,4614,0.529005845013436,0.676185077089775
"62","betap1.25 - betap1.75","0","0.3","2.1",0.975032674220532,0.0278812370260686,4614,0.901443058182363,1.0486222902587
"63","betap1.25 - betap2","0","0.3","2.1",1.21170888788077,0.0284809021248875,4614,1.13653651838255,1.286881257379
"64","betap1.5 - betap1.75","0","0.3","2.1",0.372437213168927,0.0278812370260698,4614,0.298847597130754,0.4460268292071
"65","betap1.5 - betap2","0","0.3","2.1",0.609113426829167,0.0284809021248892,4614,0.53394105733094,0.684285796327394
"66","betap1.75 - betap2","0","0.3","2.1",0.23667621366024,0.0284809021248889,4614,0.161503844162014,0.311848583158466
"67","betap1.25 - betap1.5","0.3","0.3","2.1",0.216874277623819,0.0278812370260709,4614,0.143284661585643,0.290463893661994
"68","betap1.25 - betap1.75","0.3","0.3","2.1",0.404889865538788,0.0278812370260708,4614,0.331300249500613,0.478479481576964
"69","betap1.25 - betap2","0.3","0.3","2.1",0.517324108743541,0.0303499976768753,4614,0.437218456554854,0.597429760932228
"70","betap1.5 - betap1.75","0.3","0.3","2.1",0.188015587914969,0.0278812370260693,4614,0.114425971876798,0.261605203953141
"71","betap1.5 - betap2","0.3","0.3","2.1",0.300449831119722,0.0303499976768718,4614,0.220344178931045,0.3805554833084
"72","betap1.75 - betap2","0.3","0.3","2.1",0.112434243204753,0.0303499976768713,4614,0.0323285910160768,0.192539895393429
