"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"1",1,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"2",2,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"3",3,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"4",4,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"5",5,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"6",6,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"7",7,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",11.461566834721
"8",8,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"9",9,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"10",10,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"11",11,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"12",12,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"13",13,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"14",14,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"15",15,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"16",16,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"17",17,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"18",18,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"19",19,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"20",20,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"21",21,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"22",22,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"23",23,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"24",24,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"25",25,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"26",26,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"27",27,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"28",28,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"29",29,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"30",30,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"31",31,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"32",32,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"33",33,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"34",34,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"35",35,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"36",36,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"37",37,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"38",38,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"39",39,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"40",40,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"41",41,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"42",42,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"43",43,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"44",44,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"45",45,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"46",46,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"47",47,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"48",48,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"49",49,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7294462413223
"50",50,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"51",51,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"52",52,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"53",53,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"54",54,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"55",55,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"56",56,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"57",57,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"58",58,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"59",59,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"60",60,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"61",61,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3472352735662
"62",62,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"63",63,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"64",64,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"65",65,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"66",66,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"67",67,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"68",68,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"69",69,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"70",70,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"71",71,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"72",72,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"73",73,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"74",74,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"75",75,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"76",76,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"77",77,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"78",78,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"79",79,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"80",80,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"81",81,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"82",82,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"83",83,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"84",84,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"85",85,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"86",86,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"87",87,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"88",88,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"89",89,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"90",90,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7095290681675
"91",91,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"92",92,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"93",93,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"94",94,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"95",95,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"96",96,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"97",97,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"98",98,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"99",99,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"100",100,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",NA
"101",1,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5191080495989
"102",2,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.4695948089474
"103",3,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2872928085876
"104",4,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8885371417035
"105",5,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.522211413266
"106",6,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1432536012298
"107",7,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2794187763954
"108",8,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4126278289402
"109",9,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7794921296363
"110",10,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8022415571848
"111",11,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.3196063898325
"112",12,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7978466491035
"113",13,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.181705987887
"114",14,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3086474312121
"115",15,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.6521550396919
"116",16,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6880433085412
"117",17,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2264544320482
"118",18,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9764638472612
"119",19,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.256690254095
"120",20,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7028583518543
"121",21,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0152501953343
"122",22,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5783020620455
"123",23,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0386823437396
"124",24,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8005836066459
"125",25,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0191411056402
"126",26,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.1388796989255
"127",27,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.566180226457
"128",28,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7590064810634
"129",29,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.153898517989
"130",30,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8717482629756
"131",31,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.6750963746132
"132",32,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2230212753944
"133",33,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1528257204031
"134",34,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9079569251853
"135",35,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9696627878416
"136",36,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7840220763348
"137",37,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1550073162828
"138",38,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3430047485403
"139",39,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4257381167178
"140",40,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.4707424034581
"141",41,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0035464282905
"142",42,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7226718691475
"143",43,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3268824789116
"144",44,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8791889125841
"145",45,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6407489795605
"146",46,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.157146068777
"147",47,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6803813327756
"148",48,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.9516930787493
"149",49,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.3034104769976
"150",50,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.6210418117122
"151",51,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2460364068063
"152",52,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.208835712615
"153",53,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9204073126928
"154",54,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.6827440523404
"155",55,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7107373013113
"156",56,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7774554094076
"157",57,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0749303650814
"158",58,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9626108761914
"159",59,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3320975298534
"160",60,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8593319978049
"161",61,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4273792677156
"162",62,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2960876015462
"163",63,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1584581723327
"164",64,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6631529733513
"165",65,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.597790025966
"166",66,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8917364101703
"167",67,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.5506189609483
"168",68,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2554980372223
"169",69,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2167011755027
"170",70,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8646284689132
"171",71,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.9109008692332
"172",72,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2681633889616
"173",73,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7688551822524
"174",74,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3136489977383
"175",75,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8441181807871
"176",76,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7198854480257
"177",77,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1240854688578
"178",78,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3474245631091
"179",79,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.2998358061224
"180",80,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8257912286763
"181",81,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1822151011527
"182",82,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0943888107545
"183",83,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5846075522195
"184",84,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4974530126824
"185",85,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7203961156976
"186",86,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5561138701789
"187",87,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.2169668092748
"188",88,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3941580045053
"189",89,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5648370140345
"190",90,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7848387725723
"191",91,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.4202662590966
"192",92,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7024029701495
"193",93,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3252916980774
"194",94,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9564973674326
"195",95,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.362228945441
"196",96,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8318897017678
"197",97,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4062839585128
"198",98,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8756916508263
"199",99,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.2457971048961
"200",100,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1345681936199
"201",1,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.84716791626067
"202",2,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.99339876234545
"203",3,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.59868831321968
"204",4,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.79881316627355
"205",5,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.77083682654469
"206",6,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.5389605147359
"207",7,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0105904728422
"208",8,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.61749930442111
"209",9,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2946652254777
"210",10,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.9619205577623
"211",11,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.8135545350849
"212",12,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.7294956442601
"213",13,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.74111896834329
"214",14,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.1437430231965
"215",15,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.51971040391632
"216",16,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.85246537527102
"217",17,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2272205041186
"218",18,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.022722289769
"219",19,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0237309034409
"220",20,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.92734637249591
"221",21,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.80304733838683
"222",22,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.83887426157765
"223",23,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.43574372793733
"224",24,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.76336552095292
"225",25,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.66730184344423
"226",26,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.71386153308383
"227",27,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.9333371231866
"228",28,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.79649329420419
"229",29,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.125908261645
"230",30,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.9323005520381
"231",31,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2124947318052
"232",32,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.91808121962363
"233",33,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.63960342071466
"234",34,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.72844796054533
"235",35,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0551548500661
"236",36,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0853903248408
"237",37,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.54870716441205
"238",38,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.84270608800789
