"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"1",1,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.9463998881204
"2",2,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.5048672781009
"3",3,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.365600969282
"4",4,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.6981511283359
"5",5,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.0292099694527
"6",6,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.2834539936511
"7",7,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.6118083561678
"8",8,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.3135151578094
"9",9,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.9886007386624
"10",10,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.6435711873684
"11",11,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.1635757526102
"12",12,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.6320205265153
"13",13,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.4039220647148
"14",14,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",17.5822013980483
"15",15,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.727490465207
"16",16,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.2200445851868
"17",17,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.9952637832709
"18",18,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.1707696361694
"19",19,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.6621312606805
"20",20,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.0838569692494
"21",21,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.3953634457512
"22",22,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.2716867448046
"23",23,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.1084538337653
"24",24,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.3237992337752
"25",25,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.8348815035586
"26",26,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",16.8219080599498
"27",27,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.9709167597775
"28",28,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.9084555509669
"29",29,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.7256448511078
"30",30,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.3553877707462
"31",31,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.7769273824014
"32",32,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.1633613607878
"33",33,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",16.5675009150265
"34",34,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.1173066359672
"35",35,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.5406273275402
"36",36,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.528006479552
"37",37,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.5315237227641
"38",38,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",17.5364490650756
"39",39,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.3337019849051
"40",40,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.4449169161307
"41",41,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.8704068243454
"42",42,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.4974057382582
"43",43,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.5610548619585
"44",44,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.1061449704721
"45",45,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.5790977595638
"46",46,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4964756852495
"47",47,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",16.1793168235973
"48",48,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.7704664772512
"49",49,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.4769995738888
"50",50,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.4372674622492
"51",51,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.989150691562
"52",52,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.0959149089641
"53",53,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.0380366764661
"54",54,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.1669560410716
"55",55,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",17.3408062908062
"56",56,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",20.0391291929745
"57",57,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.521697376017
"58",58,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",16.1509737338347
"59",59,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.4160926277072
"60",60,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",21.4888657671931
"61",61,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.6395619078647
"62",62,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.403391204869
"63",63,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.3444352753269
"64",64,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",23.0119766522119
"65",65,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.2625566298161
"66",66,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.8922145935686
"67",67,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.9552047377641
"68",68,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.3131884098957
"69",69,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.665406056462
"70",70,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",16.3945016668092
"71",71,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",17.4182266283352
"72",72,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.0444975437612
"73",73,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.0299914043987
"74",74,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.2547254568284
"75",75,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",17.3673415529769
"76",76,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.600201296068
"77",77,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.8748360787944
"78",78,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.4204891227303
"79",79,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",20.0648920112927
"80",80,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",20.8302621658633
"81",81,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.3368921742413
"82",82,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.0509095641876
"83",83,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.6455010837897
"84",84,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.961908333297
"85",85,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.4223171861395
"86",86,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.1100394347654
"87",87,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.9198593533192
"88",88,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.4058596381382
"89",89,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.2757429116461
"90",90,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.472606291058
"91",91,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.7084197832028
"92",92,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.8092234801071
"93",93,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.6589749367763
"94",94,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.2017199947305
"95",95,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.4358455610711
"96",96,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.1261063786595
