"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"1",1,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",16.9469730508648
"2",2,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.9092207392976
"3",3,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.6625112083321
"4",4,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.897664074759
"5",5,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.858469227725
"6",6,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",19.5618775000148
"7",7,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.7351016750492
"8",8,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.8044577097805
"9",9,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.0580001415366
"10",10,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.0999990672282
"11",1,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7657360667457
"12",2,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.000735288729
"13",3,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5731100542932
"14",4,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2920150591202
"15",5,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4277880253454
"16",6,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7040823259431
"17",7,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2794398709938
"18",8,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7357884869057
"19",9,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8256558136735
"20",10,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4070480169279
"21",1,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.83980545738928
"22",2,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.96815389409963
"23",3,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.78899224725349
"24",4,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.72890857969843
"25",5,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.81766177497379
"26",6,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.28073567574124
"27",7,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.95651320881081
"28",8,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.86816897911429
"29",9,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.03411702441392
"30",10,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.71112317094225
"31",1,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.5262827860465
"32",2,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.0674208149174
"33",3,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",11.0248599579463
"34",4,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.75737993116466
"35",5,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.6684658168035
"36",6,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",11.3673546150484
"37",7,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.4874481143958
"38",8,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.0117166747544
"39",9,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.8923658260974
"40",10,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.1437475117663
"41",1,"1.75","1.5","0.7","0.7","0","0.01","0.01","0","0",8.57636506859121
"42",2,"1.75","1.5","0.7","0.7","0","0.01","0.01","0","0",8.43532306438548
"43",3,"1.75","1.5","0.7","0.7","0","0.01","0.01","0","0",9.09357748601498
"44",4,"1.75","1.5","0.7","0.7","0","0.01","0.01","0","0",8.60317728336739
"45",5,"1.75","1.5","0.7","0.7","0","0.01","0.01","0","0",8.69483400951179
"46",6,"1.75","1.5","0.7","0.7","0","0.01","0.01","0","0",9.21341362269737
"47",7,"1.75","1.5","0.7","0.7","0","0.01","0.01","0","0",8.78811995950437
